file_bytes,entropy_cover,entropy_stego,entropy_delta_pct,gzip_ratio_cover,gzip_ratio_stego,gzip_ratio_delta_pct,chi2_uniform_cover,chi2_uniform_stego,chi2_uniform_p_cover,chi2_uniform_p_stego,chi2_homogeneity_cover_vs_stego,chi2_homogeneity_p,ks_cover_vs_stego,ks_p,diff_variance,modified_ratio,window_n,window_entropy_delta_pct_mean,window_gzip_delta_pct_mean,window_modified_ratio_mean,config,filename,k,hidden_bytes,pad_bytes,psk_run,psk_hex
6072964,0.983847138311365,0.9865150657795071,0.2711729662314372,0.0698976644682893,0.0701461428060499,0.355488755812915,1312264451.1534579,1311620258.7837465,0.0,0.0,3.1782881315889906,1.0,0.00022509601571818472,1.0,4.848116236807102,0.00022871862899236683,32303,1.1113289184262882,0.15788007305822985,0.0002287186289923668,k3_h4096_pad0,hls_seg004.ts,3,4096,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6073716,0.9838627503892485,0.9865360244227047,0.27171208915049894,0.06990333430143919,0.070149641504476,0.35235401214865897,1312419725.15648,1311775983.1788025,0.0,0.0,3.3082523340023053,1.0,0.00022490350223813849,1.0,4.754518935311299,0.00022885495469330473,32307,1.0949824175758,0.15625555291881474,0.00022885495469330473,k3_h4096_pad0,hls_seg005.ts,3,4096,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
10754164,1.0149852888389481,1.0385272010677236,2.319433836888934,0.06772548754138397,0.06978794446504628,3.0453186806548183,2309412432.935982,2299350940.7983346,0.0,0.0,366.98698407387803,5.4073858070740366e-06,0.001996993908592093,4.734247383671444e-19,44.330037652219225,0.002025912939397242,57203,9.622296129159524,1.387003142155842,0.0020259129393972414,k3_h65536_pad0,hls_seg000.ts,3,65536,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6070896,0.8450959938239815,0.8880456844958169,5.082226277927554,0.05812403968046891,0.061735038781754785,6.212574213934507,1345091383.973708,1334881153.6230185,0.0,0.0,817.2583788660438,1.3029184824887309e-58,0.003534404147262582,2.3180943830774747e-33,77.56591731412443,0.0035876088142508126,32292,17.03747043215283,2.4568635277169864,0.003587608814250811,k3_h65536_pad0,hls_seg001.ts,3,65536,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6071084,0.8162456976536696,0.8594582974889723,5.2940677003896015,0.055653158480429524,0.05932466096664121,6.597114317425085,1352118008.176588,1341878402.436012,0.0,0.0,856.784376701371,2.6111484677487134e-64,0.0035357771363400126,2.180301654146363e-33,77.79440689899944,0.0035893095862287528,32293,17.03989006636345,2.4566727567377824,0.003589309586228752,k3_h65536_pad0,hls_seg002.ts,3,65536,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
12147432,0.9700838251581972,0.9894975203270243,2.0012389306317075,0.06879100043531834,0.07049226536110678,2.473092286814577,2631517566.597956,2622208243.0049233,0.0,0.0,300.1012367959263,0.027475980405291065,0.0016299741377436838,1.9267806538260054e-14,37.41266362521618,0.001793794770779536,64614,7.798658411393377,1.131680658471286,0.001793794770779535,k3_h65536_pad0,hls_seg003.ts,3,65536,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6072964,0.983847138311365,1.0225016345172473,3.92891280572582,0.0698976644682893,0.07328579586508334,4.847274115047362,1312264451.1534579,1302976628.0803509,0.0,0.0,582.089762281131,2.737756744273137e-27,0.0032603519467595543,1.841464609746353e-28,74.47283442079438,0.0035868811341545907,32303,15.61899062753437,2.264078882303805,0.0035868811341545894,k3_h65536_pad0,hls_seg004.ts,3,65536,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
6073716,0.9838627503892485,1.0256861453357713,4.250937941290698,0.06990333430143919,0.07352187688723015,5.176494972595979,1312419725.15648,1302336370.3807635,0.0,0.0,671.0902313457042,1.6565621582758538e-38,0.0035358913719376606,2.0994011672912663e-33,76.61100748498515,0.0035864370345929904,32307,17.05577741079973,2.455608175730746,0.0035864370345929887,k3_h65536_pad0,hls_seg005.ts,3,65536,0,psk01,32bd90f76be5237c778bcf7da3a4af14c9189ecba4758c147ebdbc8e6c7ffdcf
10754164,1.0149852888389481,1.0153796365291372,0.038852552300554816,0.06772548754138397,0.06776510010448046,0.05848988989896747,2309412432.935982,2309243758.3839626,0.0,0.0,0.18540479946404967,1.0,3.338241819639265e-05,1.0,0.7469888702457012,3.394034162023194e-05,57203,0.17370642499598166,0.023826774172035783,3.394034162023194e-05,k3_h1024_pad0,hls_seg000.ts,3,1024,0,psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594
6070896,0.8450959938239815,0.8458211645303465,0.08580927038639583,0.05812403968046891,0.05818712756733108,0.10854009323679104,1345091383.973708,1344919571.124763,0.0,0.0,0.3823944698478921,1.0,5.96287599062828e-05,1.0,1.3377896547891932,6.0287641231211996e-05,32292,0.2980273946224731,0.04232214377141912,6.0287641231212e-05,k3_h1024_pad0,hls_seg001.ts,3,1024,0,psk02,dcf1130318779d9dd3937653db172579cc2f0734d52cb7f5bfa54d44d486f594
